path,input_encoding,input_mime,input_capacity_bytes,output_encoding,output_mime,output_capacity_bytes
/components/application/pdf/pdf-extract-images.wasm,bytes,application/pdf,67108864,bytes,application/x-tar,134217728
/components/application/pdf/pdf-extract-text.wasm,bytes,application/pdf,67108864,utf8,text/plain,33554432
/components/application/vnd.sqlite3/sqlite-table-csv.wasm,bytes,application/vnd.sqlite3,8388608,utf8,text/csv,8388608
/components/application/warc/warc-counts.wasm,bytes,application/warc,134217728,utf8,text/csv,16384
/components/application/warc/warc-to-sitemap.wasm,bytes,application/warc,33554432,utf8,application/xml,8388608
/components/application/warc/warc-to-static-tar-no-trailing-slash.wasm,bytes,application/warc,134217728,bytes,application/x-tar,134217728
/components/application/wasm/wasm-counts.wasm,bytes,application/wasm,8388608,utf8,text/csv,32768
/components/application/wasm/qip-component-to-c.wasm,bytes,application/wasm,1048576,utf8,text/x-c,16777216
/components/application/wasm/qip-component-to-swift.wasm,bytes,application/wasm,1048576,utf8,text/x-swift,16777216
/components/application/wasm/qip-component-to-zig.wasm,bytes,application/wasm,1048576,utf8,text/x-zig,16777216
/components/application/wasm/wasm-to-js.wasm,bytes,application/wasm,1048576,utf8,text/javascript,2097152
/components/application/x-tar/recipes-tar-to-csv.wasm,bytes,application/x-tar,134217728,utf8,text/csv,524288
/components/application/x-tar/tar-to-zip.wasm,bytes,application/x-tar,134217728,bytes,application/zip,167772160
/components/application/zip/zip-extract-file.wasm,bytes,application/zip,134217728,bytes,application/octet-stream,167772160
/components/application/zip/zip-list-entries-csv.wasm,bytes,application/zip,134217728,utf8,text/csv,167772160
/components/application/zip/zip-list-files-csv.wasm,bytes,application/zip,134217728,utf8,text/csv,167772160
/components/application/zip/zip-to-tar.wasm,bytes,application/zip,134217728,bytes,application/x-tar,167772160
/components/font/ttf/ttf-to-svg-paths-csv.wasm,bytes,font/ttf,16777216,utf8,text/csv,33554432
/components/font/ttf/ttf-to-svg-path-defs.wasm,bytes,font/ttf,16777216,utf8,image/svg+xml,33554432
/components/utf8/text-to-og-image-svg-dejavu-sans-mono.wasm,utf8,application/x-www-form-urlencoded,4096,utf8,image/svg+xml,8388608
/components/utf8/text-to-og-image-svg-inter.wasm,utf8,application/x-www-form-urlencoded,4096,utf8,image/svg+xml,8388608
/components/multipart/form-data/form-data-to-tar.wasm,bytes,multipart/form-data,67108864,bytes,application/x-tar,67372032
/components/image/bmp/bmp-bgra32-to-avif-lossy.wasm,bytes,image/bmp,48065536,bytes,image/avif,67108864
/components/image/bmp/bmp-bgra32-to-jpeg-lossy.wasm,bytes,image/bmp,100065536,bytes,image/jpeg,83886080
/components/image/bmp/bmp-bgra32-to-webp-lossless.wasm,bytes,image/bmp,100065536,bytes,image/webp,134217728
/components/image/bmp/bmp-bgra32-to-webp-lossy-opaque.wasm,bytes,image/bmp,100065536,bytes,image/webp,67108864
/components/image/bmp/bmp-bgra32-to-webp-lossy.wasm,bytes,image/bmp,100065536,bytes,image/webp,67108864
/components/image/bmp/bmp-color-palette.wasm,bytes,image/bmp,25165824,utf8,application/json,4096
/components/image/bmp/bmp-to-ico.wasm,bytes,image/bmp,16777216,bytes,image/x-icon,25165824
/components/image/bmp/bmp-to-png.wasm,bytes,image/bmp,100065536,bytes,image/png,112513312
/components/image/jp2/jp2-to-bmp-bgra32.wasm,bytes,image/jp2,67108864,bytes,image/bmp,100000054
/components/image/jpeg/jpeg-to-bmp-bgra32.wasm,bytes,image/jpeg,67108864,bytes,image/bmp,100000054
/components/image/png/png-to-bmp-bgra32-simd.wasm,bytes,image/png,67108864,bytes,image/bmp,100000054
/components/image/png/png-to-bmp-bgra32.wasm,bytes,image/png,67108864,bytes,image/bmp,100000054
/components/image/svg+xml/svg-rasterize.wasm,utf8,image/svg+xml,1048576,bytes,image/bmp,100000054
/components/image/svg+xml/svg-to-data-uri.wasm,utf8,image/svg+xml,20473,utf8,text/uri-list,61440
/components/image/webp/webp-to-bmp-bgra32.wasm,bytes,image/webp,67108864,bytes,image/bmp,100000054
/components/text/html/html-to-accessibility-tree.wasm,utf8,text/html,262144,utf8,text/markdown,1048576
/components/text/javascript/js-to-bmp.wasm,utf8,text/javascript,65536,bytes,image/bmp,8388608
/components/text/javascript/js-to-bmp2.wasm,utf8,text/javascript,65536,bytes,image/bmp,8388608
/components/text/markdown/commonmark.0.31.2.wasm,utf8,text/markdown,2097152,utf8,text/html,2097152
/components/text/markdown/extract-title-text.wasm,utf8,text/markdown,1048576,utf8,text/plain,65536
/components/text/markdown/gfm-commonmark.0.31.2.wasm,utf8,text/markdown,2097152,utf8,text/html,2097152
/components/text/markdown/markdown-basic.wasm,utf8,text/markdown,131072,utf8,text/html,262144
/components/text/uri-list/data-uri-to-css-url.wasm,utf8,text/uri-list,20477,utf8,text/plain,61440
/components/text/uri-list/url-to-qr-svg.wasm,utf8,text/uri-list,256,utf8,image/svg+xml,524288
/components/text/vnd.mermaid/mermaid-to-unicode-html.wasm,utf8,text/vnd.mermaid,65536,utf8,text/html,1048576
/components/text/x-c/c-to-bmp.wasm,utf8,text/x-c,65536,bytes,image/bmp,8388608
